run_index,material,axis,sim_time,imposed_displacement,actual_displacement,force_total,force_target,vertex_index,fiber_axis
0,isotropic,x,0,0,0,0,0,1328,na
0,isotropic,x,0,0,1.36571e-07,0.0398684,0.000153643,1328,na
0,isotropic,x,0.01,0.00155482,1.90828e-07,453.888,1.74917,1328,na
0,isotropic,x,0.02,0.0031096,8.4206e-05,882.994,3.40359,1328,na
0,isotropic,x,0.03,0.00466442,0.000289415,1276.22,4.92192,1328,na
0,isotropic,x,0.04,0.00621924,0.00063009,1628.99,6.28788,1328,na
0,isotropic,x,0.05,0.00777406,0.00110778,1938.87,7.49971,1328,na
0,isotropic,x,0.06,0.00932884,0.00171557,2210.43,8.56522,1328,na
0,isotropic,x,0.07,0.0108837,0.00244171,2445.46,9.49768,1328,na
0,isotropic,x,0.08,0.0124385,0.00327185,2645.62,10.3132,1328,na
0,isotropic,x,0.09,0.0139933,0.00419129,2821.4,11.0285,1328,na
0,isotropic,x,0.1,0.0155481,0.00518606,2970.64,11.6591,1328,na
0,isotropic,x,0.11,0.0171029,0.00624318,3103.36,12.2198,1328,na
0,isotropic,x,0.12,0.0186577,0.00735137,3220.81,12.7234,1328,na
0,isotropic,x,0.13,0.0202125,0.00850084,3323.81,13.1808,1328,na
0,isotropic,x,0.14,0.0217673,0.00968322,3417,13.6016,1328,na
0,isotropic,x,0.15,0.0233221,0.0108918,3503.85,13.9934,1328,na
0,isotropic,x,0.16,0.024877,0.0121211,3583.25,14.3622,1328,na
0,isotropic,x,0.17,0.0264317,0.0133669,3659.4,14.7131,1328,na
0,isotropic,x,0.18,0.0279866,0.0146254,3731.54,15.0501,1328,na
0,isotropic,x,0.19,0.0295414,0.015894,3799.97,15.3763,1328,na
0,isotropic,x,0.2,0.0310962,0.0171706,3866.32,15.6942,1328,na
0,isotropic,x,0.21,0.032651,0.0184534,3926.83,16.0055,1328,na
0,isotropic,x,0.22,0.0342058,0.0197414,3987.65,16.3116,1328,na
0,isotropic,x,0.23,0.0357606,0.0210333,4048.12,16.6138,1328,na
0,isotropic,x,0.24,0.0373154,0.0223285,4106.79,16.9128,1328,na
0,isotropic,x,0.25,0.0388702,0.0236264,4166.17,17.2093,1328,na
0,isotropic,x,0.26,0.040425,0.0249267,4220.03,17.5036,1328,na
0,isotropic,x,0.27,0.0419798,0.026229,4275.86,17.7961,1328,na
0,isotropic,x,0.28,0.0435346,0.0275331,4331.5,18.087,1328,na
0,isotropic,x,0.29,0.0450895,0.028839,4386.46,18.3763,1328,na
0,isotropic,x,0.3,0.0466443,0.0301462,4438.85,18.6645,1328,na
0,isotropic,x,0.31,0.0481991,0.0314548,4489.36,18.9515,1328,na
0,isotropic,x,0.32,0.0497539,0.0327649,4541.77,19.2372,1328,na
0,isotropic,x,0.33,0.0513087,0.0340762,4596.14,19.5219,1328,na
0,isotropic,x,0.34,0.0528635,0.0353886,4647.95,19.8055,1328,na
0,isotropic,x,0.35,0.0544183,0.0367023,4695.75,20.088,1328,na
0,isotropic,x,0.36,0.0559731,0.0380171,4748.33,20.3695,1328,na
0,isotropic,x,0.37,0.0575279,0.0393327,4798.56,20.6504,1328,na
0,isotropic,x,0.38,0.0590827,0.0406493,4848.26,20.9303,1328,na
0,isotropic,x,0.39,0.0606376,0.0419669,4896.67,21.2092,1328,na
0,isotropic,x,0.4,0.0621924,0.0432853,4946.67,21.4874,1328,na
0,isotropic,x,0.41,0.0637471,0.0446045,4992.56,21.7649,1328,na
0,isotropic,x,0.42,0.065302,0.0459243,5042.34,22.0417,1328,na
0,isotropic,x,0.43,0.0668568,0.0472448,5080.51,22.3179,1328,na
0,isotropic,x,0.44,0.0684116,0.0485662,5125.5,22.5933,1328,na
0,isotropic,x,0.45,0.0699664,0.0498879,5167.07,22.8683,1328,na
0,isotropic,x,0.46,0.0715212,0.0512103,5213.44,23.1426,1328,na
0,isotropic,x,0.47,0.073076,0.0525334,5258.56,23.4163,1328,na
0,isotropic,x,0.48,0.0746308,0.0538567,5304.9,23.6896,1328,na
0,isotropic,x,0.49,0.0761856,0.0551805,5351.73,23.9625,1328,na
0,isotropic,x,0.5,0.0777405,0.0565047,5394.3,24.235,1328,na
0,isotropic,x,0.51,0.0792952,0.0578292,5440.58,24.507,1328,na
0,isotropic,x,0.52,0.0808501,0.0591541,5484.18,24.7788,1328,na
0,isotropic,x,0.53,0.0824049,0.0604791,5524.1,25.0502,1328,na
0,isotropic,x,0.54,0.0839597,0.0618044,5569.53,25.3213,1328,na
0,isotropic,x,0.55,0.0855145,0.0631299,5613.14,25.5923,1328,na
0,isotropic,x,0.56,0.0870693,0.0644555,5658.1,25.863,1328,na
0,isotropic,x,0.57,0.0886241,0.0657814,5698.38,26.1334,1328,na
0,isotropic,x,0.58,0.0901789,0.0671072,5741.92,26.4039,1328,na
0,isotropic,x,0.59,0.0917337,0.0684333,5783.51,26.6739,1328,na
0,isotropic,x,0.6,0.0932885,0.0697596,5824.85,26.9438,1328,na
