run_index,material,axis,sim_time,imposed_displacement,actual_displacement,force_total,force_target,vertex_index,fiber_axis
0,isotropic,x,0,0,0,0,0,1328,na
0,isotropic,x,0,0,0.00199999,583.844,2.24999,1328,na
0,isotropic,x,0.01,0.00155482,0.00385366,1213.01,4.67519,1328,na
0,isotropic,x,0.02,0.0031096,0.00548137,1822.17,7.02747,1328,na
0,isotropic,x,0.03,0.00466442,0.00686065,2348.17,9.07644,1328,na
0,isotropic,x,0.04,0.00621924,0.00801352,2780.91,10.7802,1328,na
0,isotropic,x,0.05,0.00777406,0.00899053,3120.42,12.1529,1328,na
0,isotropic,x,0.06,0.00932884,0.00985485,3383.19,13.2347,1328,na
0,isotropic,x,0.07,0.0108837,0.0106688,3575.98,14.0767,1328,na
0,isotropic,x,0.08,0.0124385,0.011484,3718.52,14.7305,1328,na
0,isotropic,x,0.09,0.0139933,0.0123365,3823.99,15.2433,1328,na
0,isotropic,x,0.1,0.0155481,0.0132462,3905.76,15.6541,1328,na
0,isotropic,x,0.11,0.0171029,0.0142198,3964.87,15.9936,1328,na
0,isotropic,x,0.12,0.0186577,0.0152551,4009.34,16.2841,1328,na
0,isotropic,x,0.13,0.0202125,0.0163453,4047.66,16.5407,1328,na
0,isotropic,x,0.14,0.0217673,0.0174821,4077.67,16.7733,1328,na
0,isotropic,x,0.15,0.0233221,0.0186573,4103.08,16.9874,1328,na
0,isotropic,x,0.16,0.024877,0.0198643,4121.91,17.186,1328,na
0,isotropic,x,0.17,0.0264317,0.021098,4143.2,17.3704,1328,na
0,isotropic,x,0.18,0.0279866,0.0223546,4156.17,17.5411,1328,na
0,isotropic,x,0.19,0.0295414,0.0236315,4164.86,17.6983,1328,na
0,isotropic,x,0.2,0.0310962,0.0249271,4170.63,17.8425,1328,na
0,isotropic,x,0.21,0.032651,0.02624,4173.74,17.974,1328,na
0,isotropic,x,0.22,0.0342058,0.0275692,4165.8,18.0937,1328,na
0,isotropic,x,0.23,0.0357606,0.0289139,4165.32,18.2025,1328,na
0,isotropic,x,0.24,0.0373154,0.0302731,4164.6,18.3014,1328,na
0,isotropic,x,0.25,0.0388702,0.0316459,4155.1,18.3917,1328,na
0,isotropic,x,0.26,0.040425,0.0330314,4147.52,18.4745,1328,na
0,isotropic,x,0.27,0.0419798,0.0344287,4135.97,18.5508,1328,na
0,isotropic,x,0.28,0.0435346,0.0358367,4121.79,18.6216,1328,na
0,isotropic,x,0.29,0.0450895,0.0372544,4110.71,18.6877,1328,na
0,isotropic,x,0.3,0.0466443,0.038681,4093.56,18.75,1328,na
0,isotropic,x,0.31,0.0481991,0.0401155,4079.5,18.809,1328,na
0,isotropic,x,0.32,0.0497539,0.0415572,4062.85,18.8652,1328,na
0,isotropic,x,0.33,0.0513087,0.0430052,4047,18.9191,1328,na
0,isotropic,x,0.34,0.0528635,0.0444591,4026.79,18.971,1328,na
0,isotropic,x,0.35,0.0544183,0.0459182,4011.87,19.0211,1328,na
0,isotropic,x,0.36,0.0559731,0.0473821,3985.89,19.0696,1328,na
0,isotropic,x,0.37,0.0575279,0.0488502,3968.54,19.1167,1328,na
0,isotropic,x,0.38,0.0590827,0.0503224,3950.4,19.1626,1328,na
0,isotropic,x,0.39,0.0606376,0.0517982,3931.35,19.2073,1328,na
0,isotropic,x,0.4,0.0621924,0.0532773,3913.26,19.2509,1328,na
0,isotropic,x,0.41,0.0637471,0.0547595,3895.64,19.2937,1328,na
0,isotropic,x,0.42,0.065302,0.0562446,3879.04,19.3356,1328,na
0,isotropic,x,0.43,0.0668568,0.0577323,3861.46,19.3767,1328,na
0,isotropic,x,0.44,0.0684116,0.0592225,3834.67,19.4171,1328,na
0,isotropic,x,0.45,0.0699664,0.0607149,3817.41,19.4569,1328,na
0,isotropic,x,0.46,0.0715212,0.0622096,3795.12,19.4961,1328,na
0,isotropic,x,0.47,0.073076,0.0637062,3777.28,19.5348,1328,na
0,isotropic,x,0.48,0.0746308,0.0652047,3757.61,19.5729,1328,na
0,isotropic,x,0.49,0.0761856,0.0667049,3739.93,19.6105,1328,na
0,isotropic,x,0.5,0.0777405,0.0682068,3722.54,19.6479,1328,na
0,isotropic,x,0.51,0.0792952,0.0697102,3702.07,19.6847,1328,na
0,isotropic,x,0.52,0.08085,0.0712151,3683.17,19.7212,1328,na
0,isotropic,x,0.53,0.0824049,0.0727213,3658.29,19.7574,1328,na
0,isotropic,x,0.54,0.0839597,0.0742288,3643.81,19.7931,1328,na
0,isotropic,x,0.55,0.0855145,0.0757376,3625.44,19.8286,1328,na
0,isotropic,x,0.56,0.0870693,0.0772474,3609.73,19.8639,1328,na
0,isotropic,x,0.57,0.0886241,0.0787583,3593.94,19.8989,1328,na
0,isotropic,x,0.58,0.0901789,0.0802703,3575.95,19.9337,1328,na
0,isotropic,x,0.59,0.0917337,0.0817831,3552.67,19.9682,1328,na
0,isotropic,x,0.6,0.0932885,0.083297,3534.15,20.0025,1328,na
0,isotropic,x,0.61,0.0948434,0.0848117,3516.29,20.0365,1328,na
0,isotropic,x,0.62,0.0963981,0.0863272,3500.69,20.0704,1328,na
0,isotropic,x,0.63,0.0979529,0.0878435,3479.49,20.1041,1328,na
0,isotropic,x,0.64,0.0995078,0.0893605,3453.77,20.1376,1328,na
0,isotropic,x,0.65,0.101063,0.0908783,3436.71,20.1708,1328,na
0,isotropic,x,0.66,0.102617,0.0923967,3419.07,20.204,1328,na
0,isotropic,x,0.67,0.104172,0.0939158,3400.7,20.2369,1328,na
0,isotropic,x,0.68,0.105727,0.0954355,3381.6,20.2697,1328,na
0,isotropic,x,0.69,0.107282,0.0969557,3363.93,20.3024,1328,na
0,isotropic,x,0.7,0.108837,0.0984765,3350.99,20.335,1328,na
0,isotropic,x,0.71,0.110391,0.0999978,3328.07,20.3674,1328,na
0,isotropic,x,0.72,0.111946,0.10152,3312.03,20.3997,1328,na
0,isotropic,x,0.73,0.113501,0.103042,3296.69,20.4317,1328,na
0,isotropic,x,0.74,0.115056,0.104565,3276.68,20.4637,1328,na
0,isotropic,x,0.75,0.116611,0.106088,3261.69,20.4956,1328,na
0,isotropic,x,0.76,0.118165,0.107612,3244.09,20.5273,1328,na
0,isotropic,x,0.77,0.11972,0.109136,3217.55,20.559,1328,na
0,isotropic,x,0.78,0.121275,0.110661,3202.5,20.5905,1328,na
0,isotropic,x,0.79,0.12283,0.112186,3187.32,20.622,1328,na
0,isotropic,x,0.8,0.124385,0.113711,3167.41,20.6534,1328,na
0,isotropic,x,0.81,0.12594,0.115236,3148.95,20.6846,1328,na
0,isotropic,x,0.82,0.127494,0.116762,3136.54,20.7158,1328,na
0,isotropic,x,0.83,0.129049,0.118289,3121.25,20.7469,1328,na
0,isotropic,x,0.84,0.130604,0.119815,3102.47,20.7778,1328,na
0,isotropic,x,0.85,0.132159,0.121343,3085.74,20.8087,1328,na
0,isotropic,x,0.86,0.133714,0.12287,3066.51,20.8395,1328,na
0,isotropic,x,0.87,0.135268,0.124397,3047.47,20.8702,1328,na
0,isotropic,x,0.88,0.136823,0.125925,3027.13,20.9009,1328,na
0,isotropic,x,0.89,0.138378,0.127453,3010.25,20.9315,1328,na
0,isotropic,x,0.9,0.139933,0.128982,2992.05,20.962,1328,na
0,isotropic,x,0.91,0.141488,0.130511,2978.11,20.9925,1328,na
0,isotropic,x,0.92,0.143042,0.132039,2964.16,21.023,1328,na
