run_index,run_name,poisson,stage,sim_time,imposed_displacement,actual_displacement,volume,volume_ratio
0,baseline,0.28,drag,0,0,0,0.777629,1
0,baseline,0.28,drag,0.01,0.00209205,0,0.777629,1
0,baseline,0.28,drag,0.02,0.0041841,8.74503e-05,0.777637,1.00001
0,baseline,0.28,drag,0.03,0.00627615,0.0004229,0.777667,1.00005
0,baseline,0.28,drag,0.04,0.0083682,0.00114841,0.777732,1.00013
0,baseline,0.28,drag,0.05,0.0104603,0.00237608,0.777842,1.00027
0,baseline,0.28,drag,0.06,0.0125523,0.00417887,0.777999,1.00048
0,baseline,0.28,drag,0.07,0.0146444,0.00658445,0.778201,1.00074
0,baseline,0.28,drag,0.08,0.0167364,0.00957266,0.778294,1.00086
0,baseline,0.28,drag,0.09,0.0188285,0.0130767,0.777843,1.00027
0,baseline,0.28,drag,0.1,0.0209205,0.0169882,0.776938,0.999111
0,baseline,0.28,drag,0.11,0.0230126,0.0211652,0.776283,0.998268
0,baseline,0.28,drag,0.12,0.0251046,0.0156844,0.775443,0.997189
0,baseline,0.28,drag,0.13,0.0271967,0.0112111,0.774282,0.995696
0,baseline,0.28,drag,0.14,0.0292887,0,0.772942,0.993972
0,baseline,0.28,drag,0.15,0.0313808,0,0.771031,0.991515
0,baseline,0.28,drag,0.16,0.0334728,0,0.768221,0.987901
0,baseline,0.28,drag,0.17,0.0355649,0,0.765331,0.984185
0,baseline,0.28,drag,0.18,0.0376569,0,0.762935,0.981104
0,baseline,0.28,drag,0.19,0.039749,0,0.76082,0.978384
0,baseline,0.28,drag,0.2,0.041841,0.00111142,0.756841,0.973267
0,baseline,0.28,drag,0.21,0.0439331,0.00594821,0.752177,0.96727
0,baseline,0.28,drag,0.22,0.0460251,0.00537108,0.746694,0.960219
0,baseline,0.28,drag,0.23,0.0481172,0.00557116,0.740098,0.951736
0,baseline,0.28,drag,0.24,0.0502092,0.0141818,0.734311,0.944294
0,baseline,0.28,drag,0.25,0.0523013,0.0276805,0.730893,0.9399
0,baseline,0.28,drag,0.26,0.0543933,0.030197,0.728104,0.936313
0,baseline,0.28,drag,0.27,0.0564854,0.0392913,0.724926,0.932226
0,baseline,0.28,drag,0.28,0.0585774,0.0381901,0.722306,0.928857
0,baseline,0.28,drag,0.29,0.0606695,0.0395961,0.71971,0.925518
0,baseline,0.28,drag,0.3,0.0627615,0.0269654,0.718078,0.923419
