mesh_name,threads,tet_count,avg_step_time_ms,fps
Liver_Low,1,1048,0.204,4913.95
Liver_Low,10,1048,0.205,4868.46
Liver_Mid,1,20061,6.369,157.01
Liver_Mid,10,20061,6.356,157.34
Liver_High,1,62897,27.976,35.74
Liver_High,10,62897,28.045,35.66
