accel,runType,iterations,RMSE,maxError,targetDisplacementFast,targetDisplacementRef,relativeError,rmseNormalized,maxErrorNormalized
800,fast,1,1.62733e-06,6.391e-06,0.769674,0.769677,4.83185e-06,6.5689e-07,2.57979e-06
800,reference,5,0,0,0.769677,0.769677,0,0,0
