vertex,x,y,z
1,-3.14031,4.18707,6.18497
2,0.151198,-0.264301,0.134942
3,0.00325801,-1.187,0.477348
4,-0.418875,-0.847239,1.2167
5,0.0411878,-0.264301,0.173224
6,-1.79904,-0.00476971,3.0119
7,-2.5608,-0.0380522,4.53263
8,-2.17707,1.65587,4.10129
9,-2.45293,1.28549,4.3132
10,-2.65376,3.08038,5.0775
11,-1.88267,3.9897,3.85422
12,-2.33959,2.8304,4.72358
13,-1.6664,2.69032,2.72584
14,-1.57811,0.0796865,2.24318
15,-2.56686,1.58888,4.16053
16,-1.66811,1.50559,2.33086
17,-0.177558,-0.264301,0.0177209
18,-0.150198,-0.264301,-0.104699
19,-0.667636,1.28226,1.05161
20,-0.189396,1.04775,0.237566
21,0.144041,-0.264301,-0.0139542
22,-0.0278186,0.495247,0.298512
23,0.361554,-0.165603,-0.182056
24,-0.137717,1.64768,0.725854
25,0.485786,2.22699,-0.241307
26,0.0419964,2.33557,0.750654
27,0.139212,1.27141,0.351737
28,-2.40461,8.84695,5.03678
29,-2.00785,7.77491,3.9638
30,-1.67051,8.63091,3.77513
31,-1.62821,6.99166,3.39082
32,-0.563754,2.45505,1.17068
33,-0.67305,1.24656,1.33551
34,-1.89697,6.20799,4.19952
35,-1.07622,5.52832,2.41426
36,-0.976482,6.17429,2.62128
37,-1.69283,5.16723,3.86694
38,0.676843,0.0498406,-0.661866
39,0.908416,-0.0987769,-0.846173
40,0.819582,0.973916,-0.66918
41,0.371005,0.259422,0.0204177
42,0.192146,2.38882,-0.00488043
43,0.229005,1.15373,-0.156993
44,0.000101482,-0.264301,-0.0803235
45,0.0427693,1.11563,-0.0250702
46,0.0390491,-0.264301,-0.185028
47,-0.0591003,-0.264301,-0.181032
48,-0.474368,-0.111629,1.28718
49,-0.187583,-0.945636,0.943428
50,0.015859,-0.443806,0.63291
51,-2.69046,-0.0381123,4.12088
52,-3.20497,-2.00727,5.02618
53,-2.13839,-1.19316,3.21864
54,-2.56886,0.252613,4.21269
55,0.714426,1.70099,-1.27412
56,0.442765,-0.430333,-1.09537
57,0.872909,1.36833,-1.38618
58,-0.863851,9.06294,2.38002
59,-1.27187,7.59236,3.10803
60,1.21924,2.64468,-0.615473
61,1.35978,3.95403,-0.673374
62,1.34854,3.57174,-0.900586
63,0.919828,3.41448,0.153292
64,0.616709,4.12221,-0.477379
65,-0.134,3.81254,0.701719
66,-0.010639,4.00744,0.753372
67,-3.96459,3.91125,7.71791
68,-3.96797,2.81926,7.38202
69,-4.19965,4.77863,7.86087
70,-3.34835,4.03964,6.30706
71,-3.27407,1.24534,5.94927
72,-2.76924,1.30049,5.22768
73,-0.208501,7.86319,1.2702
74,-1.85315,1.0796,3.07701
75,-1.2343,1.96205,2.01336
76,-1.18941,0.304556,1.85088
77,-3.04416,4.2582,6.16038
78,-3.18511,3.0449,6.39044
79,-2.61832,3.65932,5.44208
80,0.0489942,0.784875,1.6124
81,-0.244288,0.701923,1.85464
82,0.142296,1.58983,1.51226
83,0.0729577,1.49252,1.37136
84,-3.62332,3.45495,6.3793
85,-3.19228,1.50225,5.42887
86,-2.51313,3.4723,4.33765
87,-2.97353,2.70027,5.33977
88,0.423455,0.833172,-0.27148
89,0.70441,1.07926,-0.871422
90,1.13131,3.66512,-0.672583
91,0.862557,4.65409,0.165847
92,0.70598,3.48208,0.196498
93,1.15055,4.11634,-0.396172
94,0.404598,5.53102,0.310583
95,-0.0540925,5.27006,1.09377
96,0.439329,5.22261,-0.0816228
97,0.960836,3.52056,-0.678078
98,0.392755,3.06823,0.451302
99,0.875034,4.24529,-0.154636
100,0.31082,3.53213,0.506826
101,-0.917293,-0.177865,2.18164
102,-0.73508,1.01779,1.87265
103,-1.43784,0.084454,2.96637
104,0.0206932,-0.264301,0.0611347
105,-0.310209,0.592827,0.621776
106,-0.510235,0.285814,0.81057
107,-0.510386,-0.221848,1.02225
108,-0.258513,1.46022,2.33096
109,-0.60187,1.45813,2.66366
110,0.0566165,2.27942,1.78849
111,0.00124467,0.412575,0.860048
112,-0.0964994,0.501954,0.689194
113,-0.389914,0.0771765,1.35844
114,-0.330746,1.36133,1.37714
115,1.25539,1.76235,-1.31423
116,1.704,1.00491,-2.03961
117,1.71487,2.14537,-1.96135
118,1.44323,1.50926,-1.44987
119,-0.920105,2.32722,1.97149
120,-0.285168,2.0202,0.714961
121,-0.318077,2.60204,1.00915
122,-0.198933,2.43161,1.97946
123,-0.250229,1.68184,1.74776
124,1.27167,0.593358,-1.54516
125,1.88533,1.33377,-2.45346
126,1.51213,1.7173,-1.88716
127,-2.73083,6.53587,5.19811
128,-2.64026,6.09901,5.19314
129,-0.233884,2.8266,1.8959
130,0.204006,2.3485,1.15805
131,0.413738,5.19222,-0.276704
132,-0.281454,5.3945,1.11485
133,0.0138806,5.38077,0.745544
134,0.292199,1.62243,0.326931
135,0.290583,2.32718,0.77138
136,-0.0195173,1.19329,1.0675
137,0.568444,1.79641,0.0508349
138,0.206751,6.51205,0.570811
139,0.269385,6.14691,0.255572
140,0.675275,4.14467,0.570217
141,-4.43621,1.97219,7.76935
142,-3.69801,1.72746,6.17113
143,-4.29154,0.522165,7.18573
144,-2.21397,5.98449,3.99815
145,-1.36763,4.32696,2.22951
146,-1.8509,2.91376,2.58946
147,-1.18766,5.5294,1.77073
148,-0.605971,4.52815,0.749589
149,-2.29367,4.68096,4.50932
150,-1.85146,5.03694,3.45882
151,-2.60351,4.36202,4.80494
152,-1.9695,5.63341,4.00962
153,0.0700124,3.34762,1.40893
154,0.587266,2.96006,0.529434
155,0.304707,1.31546,0.663764
156,0.123588,3.08585,0.50179
157,0.0207053,4.76629,1.07399
158,-0.382436,4.08325,1.81303
159,-0.950386,-0.944663,1.88267
160,0.0584981,0.280091,1.29945
161,0.287399,0.701651,0.835023
162,-3.40674,2.41004,6.48241
163,-1.88912,-0.0762335,3.53421
164,-0.966876,0.603425,1.94113
165,-0.409171,0.466721,1.00291
166,1.40442,0.483218,-1.53159
167,1.52263,0.333912,-1.52138
168,1.38385,1.06041,-1.15614
169,1.19889,-0.0286847,-1.13013
170,0.243349,4.48083,-0.365105
171,-0.163502,4.98771,0.282989
172,-0.538819,2.74799,0.798254
173,-0.862935,4.61465,1.64695
174,0.610743,0.593445,-0.136832
175,0.246528,0.249142,0.64776
176,0.878096,1.10615,-0.369212
177,-0.56115,2.14301,2.43982
178,-0.559071,2.64412,2.31696
179,-0.837755,2.039,2.78688
180,-0.84668,3.39687,2.20714
181,-0.920574,-1.60219,1.3323
182,-1.99248,-2.64533,3.01288
183,-1.10873,-1.082,1.53691
184,-0.531805,2.58779,1.68167
185,-0.434126,2.7812,1.81121
186,-1.76716,3.39962,3.29294
187,-0.867013,3.0757,1.66479
188,-1.48985,2.07335,2.75211
189,-0.167345,-0.715676,1.09624
190,0.980738,1.50162,-0.740893
191,0.734627,4.01007,-0.432148
192,-0.277898,4.04019,0.732998
193,-2.37193,4.83613,5.02495
194,0.332679,3.4968,1.12963
195,0.0202051,3.01352,1.58764
196,-0.479761,4.48846,1.87426
197,-0.56698,5.27186,1.95457
198,0.766975,2.78867,-0.97738
199,0.665314,3.43502,-0.938448
200,0.625789,2.00204,-1.30388
201,0.474676,3.94857,-0.739541
202,-0.0572377,2.31028,0.0168724
203,0.0967675,2.54876,-0.0364669
204,-1.45494,8.59149,2.98327
205,0.765694,1.81543,-0.593337
206,1.28433,2.64773,-1.31992
207,1.0823,2.6013,-1.16715
