vertex,x,y,z
1,-1.84595,2.89055,4.4039
2,0.151198,-0.264301,0.134942
3,0.0658054,-0.936908,0.424047
4,-0.19316,-0.659569,0.976633
5,0.0411878,-0.264301,0.173224
6,-1.11216,0.00605799,2.18635
7,-1.52579,-0.00153558,3.30826
8,-1.29489,1.13943,2.97115
9,-1.4839,0.918892,3.0765
10,-1.5777,2.13146,3.62485
11,-1.13408,2.73227,2.75564
12,-1.36473,1.93684,3.42368
13,-1.05771,1.88326,1.80614
14,-1.01186,0.103167,1.50609
15,-1.56948,1.17146,2.81188
16,-1.07246,1.08892,1.45096
17,-0.177558,-0.264301,0.0177209
18,-0.150198,-0.264301,-0.104699
19,-0.459896,0.84789,0.734331
20,-0.1613,0.664543,0.174942
21,0.144041,-0.264301,-0.0139542
22,0.00743059,0.26644,0.247593
23,0.290253,-0.195385,-0.0956838
24,-0.0475899,1.09312,0.570014
25,0.338166,1.52178,-0.118755
26,0.102201,1.56732,0.606589
27,0.155417,0.824047,0.302573
28,-1.48065,6.03105,3.39949
29,-1.26849,5.31588,2.59658
30,-1.06509,5.87679,2.56877
31,-1.03983,4.77974,2.28718
32,-0.37803,1.66199,0.84587
33,-0.419155,0.815247,0.98222
34,-1.1481,4.23927,2.97468
35,-0.703419,3.77849,1.68807
36,-0.614794,4.21441,1.89225
37,-1.00485,3.52813,2.78571
38,0.500745,-0.0378648,-0.450376
39,0.680577,-0.180335,-0.56429
40,0.611591,0.600278,-0.438001
41,0.329614,0.0918717,0.0704512
42,0.110365,1.63921,0.0241828
43,0.138444,0.75917,-0.0662568
44,0.000101482,-0.264301,-0.0803235
45,0.0318073,0.721406,-0.0629885
46,0.0390491,-0.264301,-0.185028
47,-0.0591003,-0.264301,-0.181032
48,-0.226518,-0.138706,1.00037
49,-0.0249705,-0.748941,0.777573
50,0.111957,-0.397506,0.5325
51,-1.64651,0.0839562,2.79182
52,-1.93549,-1.20743,3.57148
53,-1.33502,-0.73694,2.28311
54,-1.56592,0.253875,2.96528
55,0.415381,1.20767,-0.956202
56,0.267364,-0.325505,-0.877006
57,0.526139,0.978048,-0.968813
58,-0.61746,6.16385,1.60509
59,-0.820261,5.17212,2.17213
60,0.953223,1.72069,-0.402613
61,1.02881,2.6484,-0.443845
62,0.987109,2.40168,-0.602797
63,0.788612,2.25404,0.158385
64,0.348667,2.8685,-0.285116
65,-0.115416,2.61658,0.531216
66,-0.00316438,2.75527,0.596222
67,-2.30281,2.7218,5.51184
68,-2.32114,2.00082,5.24197
69,-2.46383,3.34536,5.46462
70,-1.9837,2.81524,4.42636
71,-1.92949,0.905646,4.27723
72,-1.61691,0.899841,3.79966
73,-0.218897,5.36367,0.909132
74,-1.15327,0.771198,2.15972
75,-0.799304,1.36161,1.36735
76,-0.772262,0.198126,1.32365
77,-1.77478,2.93078,4.41359
78,-1.83368,2.09122,4.62707
79,-1.51242,2.50472,3.93587
80,0.314066,0.388201,1.26248
81,0.0836155,0.360578,1.44565
82,0.366206,0.95679,1.17358
83,0.273519,0.910479,1.07501
84,-2.15588,2.45849,4.36014
85,-1.91414,1.13086,3.76689
86,-1.53601,2.43502,2.91578
87,-1.78167,1.91001,3.73703
88,0.323744,0.525653,-0.166053
89,0.477888,0.737837,-0.614507
90,0.816298,2.48948,-0.423511
91,0.684117,3.15987,0.183328
92,0.586146,2.34066,0.205437
93,0.873923,2.77676,-0.234134
94,0.234004,3.81916,0.304767
95,-0.0324659,3.61946,0.854984
96,0.210931,3.61681,-0.00261558
97,0.65324,2.42096,-0.412898
98,0.350863,2.07214,0.396122
99,0.646709,2.89687,-0.0397539
100,0.263817,2.40528,0.441072
101,-0.463193,-0.179976,1.66325
102,-0.375196,0.652015,1.41403
103,-0.79648,0.0200606,2.21608
104,0.0206932,-0.264301,0.0611347
105,-0.187911,0.350214,0.445294
106,-0.348007,0.134977,0.600404
107,-0.308719,-0.205223,0.788077
108,0.150761,0.868444,1.77848
109,-0.112009,0.897545,2.02602
110,0.322567,1.44313,1.36272
111,0.132104,0.192108,0.700671
112,0.013217,0.277852,0.551686
113,-0.134895,-0.0196764,1.0612
114,-0.100788,0.875407,1.06418
115,0.880788,1.17149,-0.906298
116,1.18923,0.609404,-1.44664
117,1.17951,1.43292,-1.37791
118,1.03965,0.950238,-1.01007
119,-0.559873,1.57283,1.4431
120,-0.188033,1.35938,0.52491
121,-0.18883,1.76951,0.758834
122,0.109716,1.57782,1.50728
123,0.0347586,1.0666,1.34954
124,0.887454,0.35045,-1.08937
125,1.26969,0.883427,-1.73998
126,1.01924,1.18631,-1.32593
127,-1.6613,4.49147,3.49478
128,-1.5974,4.19032,3.57674
129,0.0441025,1.86736,1.44695
130,0.333958,1.51898,0.907999
131,0.156563,3.57859,-0.169157
132,-0.23014,3.69452,0.817706
133,-0.0331713,3.7022,0.582698
134,0.282299,1.05675,0.297297
135,0.341084,1.5236,0.627457
136,0.135468,0.735417,0.849355
137,0.484801,1.16154,0.09787
138,0.0628229,4.48266,0.470433
139,0.0810259,4.22669,0.225408
140,0.606233,2.78442,0.470745
141,-2.60085,1.4957,5.4032
142,-2.20002,1.31684,4.19464
143,-2.52728,0.542402,4.96706
144,-1.38152,4.11969,2.60207
145,-0.900313,2.99486,1.38011
146,-1.1918,2.05097,1.52646
147,-0.820842,3.8109,0.946061
148,-0.476603,3.12691,0.300517
149,-1.38931,3.21858,3.16438
150,-1.16193,3.46966,2.32806
151,-1.57919,3.02544,3.30218
152,-1.21198,3.85953,2.78927
153,0.218806,2.23354,1.09174
154,0.557435,1.94898,0.442677
155,0.36166,0.802646,0.554535
156,0.107564,2.10978,0.420085
157,0.0500784,3.261,0.851479
158,-0.159644,2.77126,1.37728
159,-0.547876,-0.692534,1.45015
160,0.268912,0.0501976,1.04399
161,0.388538,0.350259,0.691664
162,-1.98793,1.6852,4.66307
163,-1.10216,-0.066397,2.61506
164,-0.56854,0.381118,1.44674
165,-0.22015,0.26554,0.763185
166,1.01149,0.21805,-1.06846
167,1.12673,0.0678369,-1.05824
168,1.04939,0.590354,-0.793047
169,0.897702,-0.167915,-0.762278
170,0.0325038,3.08669,-0.309776
171,-0.213113,3.43153,0.0775451
172,-0.404358,1.89933,0.485121
173,-0.59839,3.17348,1.07888
174,0.516813,0.303306,-0.0352115
175,0.321659,0.0491286,0.556459
176,0.715365,0.643438,-0.208047
177,-0.136892,1.392,1.84983
178,-0.176114,1.75227,1.75352
179,-0.328462,1.33004,2.10452
180,-0.484575,2.31351,1.63169
181,-0.619387,-1.129,1.04138
182,-1.25547,-1.7556,2.26732
183,-0.74292,-0.751169,1.13375
184,-0.265354,1.74604,1.26847
185,-0.161156,1.8625,1.38008
186,-1.09629,2.34239,2.29865
187,-0.576416,2.10217,1.16767
188,-0.922981,1.41649,1.96984
189,0.0236086,-0.594843,0.892615
190,0.735398,0.956656,-0.486539
191,0.466583,2.77428,-0.231951
192,-0.241827,2.76608,0.514526
193,-1.39429,3.3103,3.60143
194,0.412828,2.32197,0.878905
195,0.220213,1.98688,1.21782
196,-0.250216,3.06275,1.40956
197,-0.340842,3.60749,1.45166
198,0.454101,1.95946,-0.660437
199,0.343277,2.40616,-0.650435
200,0.299154,1.40185,-0.949242
201,0.183182,2.72688,-0.528822
202,-0.1108,1.578,-0.012454
203,0.0115268,1.74248,-0.0199552
204,-0.970248,5.86217,1.88377
205,0.55315,1.21837,-0.380858
206,0.875498,1.81503,-0.896566
207,0.714626,1.80939,-0.780371
208,0.523496,1.90963,-0.138405
209,0.754188,1.17406,-1.06274
210,-0.636621,2.15626,0.768741
211,0.0513622,-0.231641,1.07743
212,0.361444,-0.40967,0.639438
213,0.218271,-0.623502,0.671318
214,-2.46517,-0.405447,4.55793
215,-2.13932,-0.10894,4.23149
216,-0.228303,-0.0703394,1.46152
217,0.33355,-0.508554,-0.0054901
218,0.686576,2.59861,0.524404
219,0.681562,1.73824,-0.251897
220,0.689459,1.40844,-0.0639776
221,-0.944181,2.03437,2.40858
222,-0.635565,2.70709,1.67078
223,-0.756414,3.16772,2.35423
224,-0.13871,0.477673,1.73392
225,0.620735,-0.248574,-0.0161691
226,0.542185,-0.811748,-0.101375
227,0.409561,-0.840112,0.322517
228,0.387353,-0.389512,0.175493
229,-0.122615,0.151825,1.49227
230,-0.211315,1.03471,0.744633
231,0.114233,-0.264301,-0.13592
232,-0.875922,2.2264,2.75623
233,-0.694209,1.37235,2.21444
234,-0.476337,2.45728,1.99131
235,0.95235,1.51603,-0.726008
236,-0.187901,-0.46943,1.17269
237,-0.348959,0.496147,1.93734
238,-0.242571,0.945552,1.67362
239,-0.469609,0.282791,1.94404
240,-0.555983,0.688143,2.28535
241,-1.40168,1.64106,3.83596
242,-1.40964,1.01565,3.55983
243,0.522092,1.07522,0.430223
244,0.883722,3.15154,0.0807307
245,-0.915501,0.538005,2.06033
246,0.904922,0.179048,-0.444062
247,-1.32643,3.04167,2.17276
248,-0.106718,-0.264301,0.135645
249,-0.636072,-0.244571,1.26112
250,-0.518567,4.81957,0.955356
251,1.51857,1.05602,-1.91899
252,1.34983,1.60286,-1.44104
253,0.136556,0.42131,1.04587
254,-0.0661709,3.95295,0.112046
255,-0.513123,1.17593,1.53477
256,0.674694,1.49228,0.349345
257,0.478822,1.3408,0.895222
258,0.312173,1.87709,1.18212
259,-1.64469,-0.676803,3.27227
260,1.09771,1.16626,-0.859051
261,1.14181,1.64399,-0.909516
262,-1.34467,1.65021,2.6223
263,0.593163,1.85914,-0.705377
264,-0.73402,0.557591,2.41501
265,-1.02332,1.34653,3.1995
266,-0.630746,1.797,2.43498
267,0.545473,0.0377087,-0.719275
268,0.995608,0.492381,-1.5279
269,0.671033,0.700324,-0.771545
270,-0.0508604,4.91984,0.625871
271,-0.198612,4.41272,1.01408
272,0.336638,0.386467,-1.44561
273,-0.529664,0.0662086,0.559998
274,0.133078,2.81222,0.909813
275,-0.240367,2.19429,1.69217
276,-0.348636,2.11317,-0.21628
277,0.958929,-0.471579,-0.657078
278,-1.09263,-0.883668,2.25312
279,0.0484728,1.34872,-0.910258
280,-0.527493,0.89717,0.384007
281,-0.160469,2.44705,-0.313242
282,-1.08758,0.733457,2.97103
283,-0.964298,1.02905,2.461
284,0.0674116,1.58155,1.02617
285,-2.35019,4.32459,5.40499
286,-2.69299,2.45644,5.89607
287,-2.3993,2.71346,5.11834
288,0.513508,3.25431,0.254791
289,0.39327,2.72971,0.661854
290,-1.7592,3.98251,4.25176
291,-0.0836274,-0.264301,0.00390051
292,-0.881643,1.92956,2.46986
293,0.832593,0.884878,-0.179405
294,-0.452288,1.27039,1.92931
295,-0.686158,1.11639,2.69793
296,-0.682086,0.66532,1.40656
297,-1.95469,2.28271,3.74176
298,-0.811991,-0.855562,1.80099
299,0.601152,-0.0922417,-1.16145
300,0.159705,4.11705,0.35727
301,-0.0673804,4.02796,0.821428
302,-2.09487,3.67887,4.50272
303,0.261834,-1.06112,0.354367
304,0.695557,0.164629,0.146636
305,0.651536,-0.544934,0.240943
306,-0.290393,5.03458,0.786203
307,-1.36385,5.09612,3.29819
308,-0.581927,4.0435,0.743304
309,-0.890573,4.8297,1.39865
310,0.372591,3.47013,0.275586
311,-2.29394,1.04541,4.84281
312,-1.90422,0.203849,3.98441
313,-0.0514511,4.55874,0.389511
314,-2.03559,0.471978,3.52058
315,-0.431781,1.53505,2.18647
316,-1.15573,2.6846,3.20647
317,1.31653,0.577132,-1.47423
318,0.495293,2.02743,0.957221
319,-1.7516,3.15834,3.39909
320,-0.0605594,-1.10336,0.351328
321,-0.430171,-1.59997,0.789966
322,-1.78205,1.99136,3.18624
323,0.591913,3.18024,0.224713
324,0.0555351,2.26594,1.26067
325,-0.526927,1.02666,2.47714
326,1.05951,1.9745,-0.953499
327,1.18635,2.1319,-0.96064
328,0.48496,-0.0758091,0.744391
329,0.716764,-0.505885,-0.424924
330,-1.05085,6.86066,2.3791
331,-0.158389,0.540136,-0.272277
332,-0.545748,2.88131,2.00468
333,0.138391,2.1186,-0.774021
334,0.496277,-0.620309,-0.146859
335,0.547052,0.744215,0.627926
336,-0.760857,2.80884,0.512718
337,0.710851,-0.805609,-0.270991
338,0.0866628,0.0591444,1.22743
339,-1.62101,1.27823,2.53724
340,-2.78109,3.42773,6.39536
341,0.157793,-1.00661,0.397067
342,0.801131,-0.321305,-0.188197
343,-0.381938,0.973083,2.30333
344,0.670783,-1.04391,-0.116854
345,0.807413,-1.02233,-0.256523
346,0.530344,-1.06507,0.0355496
347,-1.91415,5.19149,4.4073
348,0.39181,-1.07919,0.194856
349,0.413583,-0.930819,0.100301
350,0.329706,-0.687888,0.254615
351,0.394749,-0.79809,0.0576153
352,0.298698,-0.743242,0.14903
353,0.178283,-0.699249,0.448993
354,0.101811,-0.853344,0.618888
355,0.342528,-0.949778,0.335656
356,0.238323,-0.80747,0.540089
357,0.764112,-0.92436,-0.263237
358,0.701032,-0.87329,-0.133925
359,0.519326,-0.727701,0.261709
360,0.513469,-0.544677,0.151496
361,0.569787,-0.822741,0.00261107
362,0.371417,-0.471168,0.421878
363,0.280965,-0.52959,0.657576
364,0.38399,-0.602194,0.497091
365,-0.20365,4.91998,0.941666
366,-0.255775,4.44217,0.93514
367,-0.288734,1.71926,1.76477
368,-0.328835,1.83006,1.79187
369,-0.169141,1.81248,1.5726
370,-0.091381,2.22497,1.47138
371,-0.0152385,2.33788,1.14518
372,0.0391498,2.58497,0.927015
373,0.147835,2.83173,0.6534
374,-0.0285164,2.01693,0.906752
375,-0.0683283,1.64308,0.905975
376,-0.20619,1.4635,1.52505
377,-0.139059,1.40734,1.24158
378,0.294511,1.45407,1.19979
379,0.301304,1.2065,1.23097
380,0.274477,1.16885,1.29348
381,0.106318,1.17223,1.6905
382,0.315952,1.65934,1.27518
383,-0.874629,3.76037,1.54452
384,-0.748064,3.08496,1.22681
385,-0.300305,0.122123,1.49406
386,-0.319457,-0.116112,1.53477
387,0.770216,2.18114,-0.0776146
388,0.866814,2.31976,-0.142754
389,1.00079,2.3061,-0.428454
390,0.828604,1.88063,-0.316357
391,0.414825,-0.266769,-0.0309039
392,0.491746,3.0631,0.0217367
393,0.440287,3.36871,0.279988
394,0.405066,2.87465,0.329978
395,0.578673,2.88017,-0.0580971
396,0.445484,2.77234,0.310255
397,0.490449,2.66623,0.145713
398,0.396525,2.42002,0.354464
399,0.807494,1.20173,-0.968441
400,0.873241,0.971942,-1.09769
401,-2.09766,0.196313,3.90156
402,-2.06975,-0.179307,3.70119
403,-1.94306,0.735006,3.54247
404,-0.300521,2.1148,1.6461
405,-0.496439,-1.11188,1.13584
406,-0.540465,-0.534763,1.25319
407,-0.401211,0.0575143,1.21043
408,-0.49265,-0.10801,1.55145
409,0.589109,2.40127,-0.0993048
410,-1.17479,3.30656,2.7742
411,-1.3201,3.51977,3.1116
412,0.431653,2.17451,-0.140259
413,0.503234,1.93283,-0.295557
414,0.317676,1.88629,0.08406
415,0.830828,1.07978,-0.463716
416,0.716304,1.17532,-0.293039
417,0.493721,1.68217,0.763279
418,-0.90128,5.07446,1.7908
419,-1.004,5.33585,2.08119
420,-1.45977,1.68964,3.73606
421,0.761222,0.263052,-0.55556
422,-0.22684,3.12733,0.981658
423,-0.152285,3.13886,0.97239
424,-0.476772,3.20385,1.54558
425,-0.571483,1.87827,1.27465
426,-0.558258,1.58933,1.21005
427,-2.38317,3.03309,5.4893
428,-0.0515141,0.838673,1.2566
429,-1.19569,2.45881,1.99972
430,-2.03132,3.35894,4.88077
