vertex,x,y,z
172,-0.385535,0.340011,0.0791606
173,-0.463306,0.669612,0.183745
174,0.482091,-0.0243049,0.00127514
175,0.453768,-0.0239367,0.205549
176,0.628242,0.0651239,-0.0778903
177,0.354279,0.522201,0.437384
178,0.268784,0.585656,0.379792
179,0.23794,0.507172,0.516014
180,-0.122286,0.611138,0.336822
181,-0.34449,-0.380012,0.412124
182,-0.564188,-0.426331,0.698612
183,-0.419105,-0.313607,0.354044
184,0.027767,0.471081,0.261003
185,0.161379,0.542553,0.280372
186,-0.532412,0.537985,0.490303
187,-0.353772,0.445458,0.239204
188,-0.41583,0.326444,0.454375
189,0.232918,-0.200132,0.361845
190,0.560291,0.123149,-0.19628
191,0.240566,0.695236,-0.18609
192,-0.26093,0.599813,0.0760198
193,-0.47257,0.895531,0.755173
194,0.593951,0.699301,0.0569308
195,0.508967,0.634561,0.194165
196,-0.00360368,0.815345,0.242471
197,-0.117009,0.914172,0.243049
198,0.143066,0.46407,-0.240485
199,-0.00398762,0.55129,-0.200225
200,-0.061614,0.270314,-0.250734
201,-0.153848,0.578179,-0.15849
202,-0.21973,0.267979,-0.0278098
203,-0.0992687,0.35543,-0.0384282
204,-0.709129,1.25846,0.260698
205,0.40257,0.219142,-0.188086
206,0.540455,0.358157,-0.388937
207,0.404139,0.39676,-0.332281
208,0.411508,0.451035,-0.164961
209,0.390699,0.200543,-0.392167
210,-0.541372,0.371216,0.130275
211,0.33087,-0.0524121,0.381692
212,0.51056,-0.137202,0.28732
213,0.368947,-0.219003,0.305448
214,-1.04145,-0.121329,1.074
215,-0.847149,0.013383,1.00735
216,0.174447,0.0196181,0.462559
217,0.29885,-0.298898,0.0794544
218,0.762337,0.748959,-0.0893143
219,0.551533,0.388984,-0.197457
220,0.632003,0.314903,-0.118232
221,-0.329028,0.547522,0.539274
222,-0.289717,0.659672,0.341856
223,-0.221712,0.842913,0.470478
224,0.341299,0.245877,0.498223
225,0.587832,-0.177924,0.078097
226,0.482416,-0.369854,0.104467
227,0.460044,-0.319159,0.234203
228,0.407637,-0.213457,0.132253
229,0.287258,0.107157,0.459721
230,-0.0434811,0.210584,0.158644
231,0.114233,-0.264301,-0.13592
232,-0.159681,0.67187,0.608614
233,-0.0980157,0.431274,0.526024
234,-0.0090356,0.704022,0.407634
235,0.690954,0.265382,-0.32367
236,0.11143,-0.125948,0.429437
237,0.193751,0.242418,0.547449
238,0.209603,0.335305,0.42959
239,0.0818152,0.16057,0.552998
240,0.0901474,0.310215,0.613403
241,-0.314714,0.580462,0.896181
242,-0.376622,0.39524,0.85619
243,0.614224,0.278291,0.0609759
244,0.805057,0.85409,-0.278114
245,-0.343282,0.155583,0.528529
246,0.748907,-0.0992046,-0.0876318
247,-0.825319,0.582004,0.409452
248,-0.106718,-0.264301,0.135645
249,-0.292112,-0.117684,0.392319
250,-0.507974,1.03031,0.100027
251,0.883428,-0.020565,-0.63574
252,0.862231,0.202818,-0.548021
253,0.411162,0.145544,0.308698
254,-0.284178,0.854891,-0.0450328
255,-0.120045,0.315546,0.365057
256,0.738249,0.400345,-0.0110666
257,0.703276,0.432909,0.163484
258,0.601491,0.61486,0.187119
259,-0.650087,-0.106068,0.843587
260,0.806811,0.140813,-0.326299
261,0.824198,0.279064,-0.394513
262,-0.643719,0.362927,0.582096
263,0.289406,0.425199,-0.288927
264,-0.038741,0.260531,0.64089
265,-0.122406,0.510678,0.780554
266,0.00895227,0.586819,0.561423
267,0.336197,-0.184802,-0.266546
268,0.499966,-0.0572306,-0.510724
269,0.420423,0.0242188,-0.28203
270,-0.166275,1.156,0.0256409
271,-0.161062,1.06207,0.124665
272,-0.0929805,0.0204461,-0.387924
273,-0.378979,-0.15105,0.120625
274,0.259426,0.786351,0.0822936
275,0.154257,0.661612,0.33846
276,-0.552044,0.2886,-0.101054
277,0.742367,-0.324969,-0.0744295
278,-0.433986,-0.16093,0.668155
279,-0.322883,0.137452,-0.231707
280,-0.486445,0.0445706,0.074777
281,-0.413393,0.415588,-0.120531
282,-0.224056,0.315875,0.745306
283,-0.28254,0.331882,0.601546
284,0.308816,0.458985,0.192454
285,-0.89649,1.10457,1.10659
286,-0.979362,0.676565,1.2809
287,-0.946188,0.689204,1.09587
288,0.427479,0.875393,-0.158098
289,0.474081,0.77773,-0.022227
290,-0.663087,1.03113,0.871276
291,-0.0836274,-0.264301,0.00390051
292,-0.239967,0.556572,0.557301
293,0.752313,0.148598,-0.0931385
294,0.0636433,0.415192,0.467032
295,0.067461,0.463237,0.687009
296,-0.314411,0.111708,0.352666
297,-0.91551,0.489557,0.795064
298,-0.295769,-0.161923,0.576789
299,0.287419,-0.143136,-0.437189
300,0.00541738,1.01161,-0.0384664
301,-0.0682949,0.991499,0.0815169
302,-0.890208,0.885149,0.923513
303,0.309558,-0.409259,0.254749
304,0.712079,-0.0189067,0.0866139
305,0.686687,-0.214021,0.198812
306,-0.353254,1.12478,0.067126
307,-0.628211,1.21981,0.614873
308,-0.589829,0.805598,0.0644158
309,-0.726142,0.983056,0.179425
310,0.251781,0.906976,-0.104828
311,-0.854483,0.325005,1.1024
312,-0.708932,0.128615,0.955969
313,-0.219366,1.03825,-0.00715299
314,-0.981788,0.0249457,0.81194
315,0.14818,0.540723,0.519502
316,-0.324766,0.769313,0.691655
317,0.835559,-0.119855,-0.4467
318,0.720334,0.640614,0.0983853
319,-0.867927,0.684947,0.686991
320,-0.0511056,-0.413771,0.36343
321,-0.269475,-0.467866,0.45602
322,-0.907312,0.384467,0.678967
323,0.518457,0.865281,-0.186895
324,0.328998,0.683608,0.19987
325,0.160848,0.449828,0.646312
326,0.711797,0.38292,-0.434148
327,0.839836,0.422938,-0.459761
328,0.671441,-0.00161999,0.288276
329,0.567212,-0.315863,-0.0202588
330,-0.687468,1.52846,0.341557
331,-0.291544,-0.0421525,-0.0938287
332,-0.102235,0.781899,0.397289
333,-0.234353,0.396018,-0.195694
334,0.425677,-0.32762,0.0601181
335,0.700654,0.221127,0.157392
336,-0.768714,0.430167,0.0319593
337,0.603253,-0.378863,0.0688733
338,0.414559,0.0694465,0.401438
339,-0.914894,0.160181,0.552395
340,-0.962154,0.948769,1.36268
341,0.214413,-0.406127,0.293241
342,0.718069,-0.211001,0.0468361
343,0.255466,0.442209,0.608314
344,0.602361,-0.424889,0.144753
345,0.70085,-0.428378,0.110696
346,0.503678,-0.421202,0.179562
347,-0.826405,1.24884,0.850579
348,0.405637,-0.416665,0.215907
349,0.404869,-0.388042,0.170137
350,0.363807,-0.300181,0.186281
351,0.376573,-0.361162,0.139602
