t,force_x,force_y,force_z,force_mag,disp_x,disp_y,disp_z,disp_mag
0.934211,87.5826,1494.48,325.924,1532.12,0.0109478,0.18681,0.0407405,0.191514
0.947685,87.8963,1507.37,327.017,1544.94,0.010987,0.188422,0.0408772,0.193118
0.9657,88.1486,1532.32,327.863,1569.48,0.0110186,0.19154,0.0409829,0.196185
0.979655,88.3441,1546.2,328.538,1583.19,0.011043,0.193275,0.0410673,0.197898
1.00124,88.4898,1580.35,329.012,1616.65,0.0110612,0.197543,0.0411265,0.202082
1.0141,88.5966,1590.88,329.393,1627.03,0.0110746,0.198859,0.0411742,0.203379
1.03008,88.6657,1609.61,329.596,1645.4,0.0110832,0.201202,0.0411995,0.205675
1.0481,88.6965,1633.61,329.663,1668.9,0.0110871,0.204202,0.0412079,0.208613
1.06191,88.6946,1646.09,329.636,1681.11,0.0110868,0.205761,0.0412045,0.210139
1.07502,88.6481,1656.59,329.452,1691.36,0.011081,0.207074,0.0411814,0.21142
1.09187,88.5637,1676.91,329.116,1711.19,0.0110705,0.209614,0.0411395,0.213899
1.10693,88.4435,1692.23,328.678,1726.12,0.0110554,0.211529,0.0410848,0.215765
1.12164,88.2955,1706.47,328.128,1739.97,0.0110369,0.213309,0.041016,0.217497
1.13743,88.1197,1723.4,327.45,1756.45,0.011015,0.215425,0.0409312,0.219556
1.15005,87.9104,1731.71,326.654,1764.45,0.0109888,0.216464,0.0408317,0.220556
1.16935,87.6734,1757.71,325.742,1789.79,0.0109592,0.219714,0.0407177,0.223723
1.18342,87.4043,1769.48,324.776,1801.16,0.0109255,0.221185,0.040597,0.225145
1.1977,87.1258,1781.69,323.713,1812.95,0.0108907,0.222711,0.0404641,0.226619
1.21536,86.8168,1802.77,322.561,1833.46,0.0108521,0.225347,0.0403201,0.229182
1.23216,86.4975,1821.29,321.348,1851.44,0.0108122,0.227661,0.0401685,0.23143
1.24615,86.1647,1832.13,320.083,1861.87,0.0107706,0.229016,0.0400104,0.232734
1.25855,85.8066,1838.56,318.759,1867.96,0.0107258,0.229821,0.0398449,0.233496
1.27212,85.4235,1848.01,317.348,1877,0.0106779,0.231001,0.0396686,0.234625
1.28453,85.0132,1854.21,315.865,1882.84,0.0106266,0.231776,0.0394831,0.235355
1.30316,84.5795,1876.91,314.279,1904.92,0.0105724,0.234614,0.0392848,0.238115
1.31612,84.1355,1884.26,312.669,1911.88,0.0105169,0.235533,0.0390836,0.238985
1.3335,83.6756,1903.31,310.984,1930.36,0.0104595,0.237914,0.038873,0.241296
1.34749,83.2112,1913.07,309.283,1939.69,0.0104014,0.239133,0.0386604,0.242462
1.36335,82.7472,1927.73,307.525,1953.86,0.0103434,0.240966,0.0384406,0.244232
1.3872,83.5173,1963.4,305.651,1988.81,0.0104397,0.245426,0.0382064,0.248601
1.40284,85.4166,1976.8,303.733,2001.82,0.0106771,0.2471,0.0379667,0.250227
1.41551,87.708,1982.09,301.743,2006.85,0.0109635,0.247762,0.0377178,0.250856
1.43011,89.6397,1992.4,299.72,2016.81,0.011205,0.24905,0.037465,0.252102
1.44589,90.7633,2005.69,297.709,2029.7,0.0113454,0.250712,0.0372136,0.253712
1.46468,90.7855,2026.86,295.742,2050.33,0.0113482,0.253357,0.0369678,0.256291
1.47909,87.1613,2036.22,294.094,2059.19,0.0108952,0.254527,0.0367617,0.257399
1.49751,77.5542,2056.37,292.953,2078.58,0.00969428,0.257046,0.0366191,0.259822
1.51288,61.4285,2068.19,292.752,2089.71,0.00767857,0.258523,0.036594,0.261213
1.52566,42.485,2072.83,293.335,2093.91,0.00531062,0.259104,0.0366669,0.261739
1.54027,25.4097,2082.14,294.122,2102.96,0.00317621,0.260268,0.0367653,0.262871
1.5554,12.6691,2092.46,294.811,2113.17,0.00158364,0.261558,0.0368514,0.264146
1.57085,5.45859,2103.3,294.988,2123.9,0.000682324,0.262913,0.0368735,0.265487
1.58455,3.68476,2109.25,294.456,2129.71,0.000460595,0.263657,0.0368069,0.266214
1.60313,6.31475,2128.07,293.113,2148.17,0.000789344,0.266009,0.0366392,0.268521
1.61863,11.9367,2138.5,291.031,2158.25,0.00149208,0.267313,0.0363789,0.269781
1.6383,19.0582,2160.01,288.328,2179.25,0.00238228,0.270001,0.036041,0.272406
1.65176,26.4039,2164.84,285.209,2183.7,0.00330049,0.270605,0.0356511,0.272963
1.66674,32.1124,2173.67,282.155,2192.14,0.00401405,0.271708,0.0352694,0.274017
1.67959,36.5763,2176.73,279.206,2194.87,0.00457203,0.272091,0.0349008,0.274359
1.69206,40.0331,2178.7,276.317,2196.52,0.00500414,0.272338,0.0345396,0.274565
1.70542,42.6741,2183.01,273.488,2200.49,0.00533426,0.272877,0.0341859,0.275062
1.71894,44.6792,2187.68,270.733,2204.82,0.0055849,0.27346,0.0338416,0.275603
1.73323,46.17,2194.34,268.029,2211.13,0.00577125,0.274292,0.0335036,0.276391
1.74645,47.2593,2198.1,265.378,2214.56,0.00590742,0.274762,0.0331723,0.27682
1.76517,48.0256,2216.46,262.784,2232.5,0.0060032,0.277057,0.0328481,0.279062
1.7791,48.5342,2221.84,260.296,2237.56,0.00606677,0.27773,0.032537,0.279695
1.79153,48.8267,2223.18,257.844,2238.61,0.00610334,0.277897,0.0322306,0.279826
1.80409,48.9626,2224.8,255.435,2239.96,0.00612032,0.278101,0.0319294,0.279994
1.81793,48.9712,2229.76,253.062,2244.61,0.0061214,0.27872,0.0316327,0.280576
1.83209,48.8729,2235.51,250.721,2250.06,0.00610912,0.279439,0.0313402,0.281257
1.84832,48.6922,2246.73,248.418,2260.95,0.00608653,0.280841,0.0310523,0.282618
1.86308,48.4538,2253.88,246.143,2267.8,0.00605673,0.281735,0.0307679,0.283475
1.87555,48.1751,2254.85,243.896,2268.51,0.00602189,0.281856,0.0304871,0.283564
1.88819,47.8518,2256.24,241.656,2269.65,0.00598148,0.28203,0.030207,0.283706
1.90142,47.4989,2259.15,239.434,2272.3,0.00593737,0.282394,0.0299293,0.284038
1.9141,47.1318,2260.54,237.235,2273.45,0.00589147,0.282568,0.0296543,0.284181
1.93339,46.7429,2279.54,235.048,2292.1,0.00584286,0.284942,0.029381,0.286513
1.94812,46.3488,2286.15,232.906,2298.45,0.0057936,0.285769,0.0291132,0.287307
1.96599,45.9492,2301.12,230.779,2313.12,0.00574365,0.28764,0.0288474,0.28914
1.98276,45.5403,2312.95,228.694,2324.68,0.00569254,0.289119,0.0285868,0.290584
2.00068,45.13,2325.91,226.649,2337.36,0.00564125,0.290738,0.0283311,0.29217
