mesh_label,mesh_source,tetgen_args,target_tets,tet_count,point_count,max_volume,threads,pbd_iterations,warmup_frames,measure_frames,seconds,fps,ms_mean,ms_prime_mean,ms_pbd_mean,baseline_threads,baseline_fps,speedup,efficiency
target5000,models/liver_HD_Low.stl,pq20a0.000869757205,5000,6858,2174,0.000869757,1,10,60,240,3.46239,69.3163,14.4266,9.90573,4.52088,1,69.3163,1,1
target5000,models/liver_HD_Low.stl,pq20a0.000869757205,5000,6858,2174,0.000869757,10,10,60,240,1.00158,239.621,4.17326,2.38509,1.78814,1,69.3163,3.45692,0.345692
target20000,models/liver_HD_Low.stl,pq20a9.53132112e-05,20000,18245,4098,9.53132e-05,1,10,60,240,14.7361,16.2865,61.4005,47.1258,14.2747,1,16.2865,1,1
target20000,models/liver_HD_Low.stl,pq20a9.53132112e-05,20000,18245,4098,9.53132e-05,10,10,60,240,2.94602,81.4659,12.2751,8.8526,3.42245,1,16.2865,5.00205,0.500205
target50000,models/liver_HD_Low.stl,pq20a2.99954827e-05,50000,49365,9532,2.99955e-05,1,10,60,240,101.219,2.37111,421.744,368.494,53.2496,1,2.37111,1,1
target50000,models/liver_HD_Low.stl,pq20a2.99954827e-05,50000,49365,9532,2.99955e-05,10,10,60,240,25.0812,9.56892,104.505,93,11.5049,1,2.37111,4.03564,0.403564
