mesh_label,mesh_source,tetgen_args,target_tets,tet_count,point_count,max_volume,threads,pbd_iterations,warmup_frames,measure_frames,seconds,fps,ms_mean,ms_prime_mean,ms_pbd_mean,baseline_threads,baseline_fps,speedup,efficiency
target1000,models/liver_HD_Low.stl,pq20a0.0680298656,1000,6111,2066,0.0680299,1,10,60,240,3.35194,71.6003,13.9664,9.62742,4.33899,1,71.6003,1,1
target1000,models/liver_HD_Low.stl,pq20a0.0680298656,1000,6111,2066,0.0680299,10,10,60,240,1.00601,238.567,4.1917,2.32796,1.8637,1,71.6003,3.33192,0.333192
target10000,models/liver_HD_Low.stl,pq20a0.0155251706,10000,6111,2066,0.0155252,1,10,60,240,3.48513,68.8641,14.5214,9.8029,4.71844,1,68.8641,1,1
target10000,models/liver_HD_Low.stl,pq20a0.0155251706,10000,6111,2066,0.0155252,10,10,60,240,0.935722,256.487,3.89884,2.18808,1.7107,1,68.8641,3.72453,0.372453
target20000,models/liver_HD_Low.stl,pq20a0.000465858204,20000,7790,2317,0.000465858,1,10,60,240,4.3661,54.969,18.1921,12.2691,5.92298,1,54.969,1,1
target20000,models/liver_HD_Low.stl,pq20a0.000465858204,20000,7790,2317,0.000465858,10,10,60,240,1.21699,197.208,5.0708,2.94748,2.12326,1,54.969,3.58761,0.358761
target40000,models/liver_HD_Low.stl,pq20a4.30698419e-05,40000,35486,7121,4.30698e-05,1,10,60,240,52.6722,4.55648,219.468,181.667,37.8009,1,4.55648,1,1
target40000,models/liver_HD_Low.stl,pq20a4.30698419e-05,40000,35486,7121,4.30698e-05,10,10,60,240,12.9743,18.4981,54.0597,45.4957,8.56387,1,4.55648,4.05973,0.405973
target65000,models/liver_HD_Low.stl,pq20a2.35134848e-05,65000,61988,11840,2.35135e-05,1,10,60,240,174.947,1.37185,728.944,650.807,78.1376,1,1.37185,1,1
target65000,models/liver_HD_Low.stl,pq20a2.35134848e-05,65000,61988,11840,2.35135e-05,10,10,60,240,46.9625,5.11046,195.677,178.664,17.0125,1,1.37185,3.72524,0.372524
