mesh_name,threads,tet_count,avg_step_time_ms,fps
Liver_Low,1,1048,0.199,5013.80
Liver_Low,10,1048,0.207,4837.16
Liver_Mid,1,20061,6.518,153.42
Liver_Mid,10,20061,6.595,151.63
Liver_High,1,62897,30.264,33.04
Liver_High,10,62897,32.651,30.63
