accel,runType,iterations,RMSE,maxError,targetDisplacementFast,targetDisplacementRef,relativeError,rmseNormalized,maxErrorNormalized
800,fast,1,1.73617e-05,0.000129038,0.242951,0.242941,4.31132e-05,1.18511e-05,8.80808e-05
800,reference,10,0,0,0.242941,0.242941,0,0,0
1500,fast,1,5.78687e-05,0.000447074,0.316405,0.316364,0.00012975,3.95011e-05,0.000305171
1500,reference,10,0,0,0.316364,0.316364,0,0,0
2000,fast,1,9.83375e-05,0.000740206,0.350254,0.350192,0.00017877,6.71249e-05,0.000505263
2000,reference,10,0,0,0.350192,0.350192,0,0,0
