t,force_x,force_y,force_z,force_mag,disp_x,disp_y,disp_z,disp_mag
1.10282,2773.44,1205.6,494.235,3064.27,0.34668,0.1507,0.0617794,0.383033
1.11924,2821.85,1194.81,491.421,3103.53,0.352732,0.149351,0.0614276,0.387942
1.13558,2870.09,1184.51,488.519,3143.1,0.358761,0.148064,0.0610648,0.392888
1.15204,2918.69,1174.74,485.595,3183.49,0.364837,0.146843,0.0606993,0.397936
1.16865,2967.79,1165.49,482.696,3224.77,0.370974,0.145686,0.0603369,0.403096
1.18426,3013.99,1156.7,479.852,3263.8,0.376749,0.144588,0.0599815,0.407975
1.20043,3061.85,1148.34,477.06,3304.73,0.382732,0.143543,0.0596325,0.413091
1.21708,3111.13,1140.35,474.346,3347.32,0.388892,0.142544,0.0592932,0.418415
1.23255,3156.97,1132.68,471.698,3387.03,0.394621,0.141585,0.0589622,0.423378
1.24842,3204.01,1125.3,469.114,3428.13,0.400501,0.140662,0.0586393,0.428516
1.2639,3249.91,1118.15,466.589,3468.41,0.406238,0.139769,0.0583236,0.433551
1.28169,3302.55,1111.22,464.111,3515.26,0.412818,0.138903,0.0580139,0.439407
1.29693,3347.73,1104.47,461.692,3555.32,0.418466,0.138059,0.0577115,0.444415
1.31425,3399.01,1097.88,459.3,3601.33,0.424876,0.137235,0.0574125,0.450166
1.33025,3446.44,1091.44,456.95,3643.89,0.430804,0.13643,0.0571187,0.455487
1.34641,3494.37,1085.13,454.626,3687.11,0.436796,0.135641,0.0568283,0.460889
1.3627,3542.7,1078.93,452.332,3730.88,0.442838,0.134867,0.0565416,0.46636
1.37912,3591.42,1072.85,450.064,3775.16,0.448927,0.134107,0.056258,0.471895
1.39516,3639.01,1066.87,447.824,3818.53,0.454876,0.133359,0.0559781,0.477316
1.41142,3687.27,1060.99,445.605,3862.67,0.460909,0.132623,0.0557007,0.482834
1.43033,3743.25,1055.19,443.412,3914.33,0.467906,0.131899,0.0554265,0.489291
1.44694,3792.49,1049.47,441.257,3959.68,0.474061,0.131184,0.0551571,0.49496
1.46314,3840.55,1043.84,439.105,4004.03,0.480069,0.13048,0.0548881,0.500503
1.47933,3888.64,1038.28,436.974,4048.51,0.48608,0.129784,0.0546218,0.506064
1.49571,3937.24,1032.79,434.858,4093.61,0.492155,0.129099,0.0543572,0.511701
1.51241,3986.79,1027.37,432.761,4139.72,0.498349,0.128422,0.0540951,0.517465
1.53045,4040.23,1022.03,430.686,4189.68,0.505028,0.127754,0.0538358,0.523711
1.54666,4088.32,1016.74,428.632,4234.6,0.51104,0.127093,0.053579,0.529326
