mesh_label,mesh_source,tetgen_args,target_tets,tet_count,point_count,max_volume,threads,pbd_iterations,warmup_frames,measure_frames,seconds,fps,ms_mean,ms_prime_mean,ms_pbd_mean,baseline_threads,baseline_fps,speedup,efficiency
target1000,models/liver_HD_Low.stl,pq20a0.0680298656,1000,6111,2066,0.0680299,1,10,60,240,3.41282,70.323,14.2201,9.71283,4.50723,1,70.323,1,1
target1000,models/liver_HD_Low.stl,pq20a0.0680298656,1000,6111,2066,0.0680299,10,10,60,240,0.9835,244.026,4.09792,2.27805,1.8198,1,70.323,3.47008,0.347008
target10000,models/liver_HD_Low.stl,pq20a0.0155251706,10000,6111,2066,0.0155252,1,10,60,240,3.34337,71.7839,13.9307,9.62168,4.309,1,71.7839,1,1
target10000,models/liver_HD_Low.stl,pq20a0.0155251706,10000,6111,2066,0.0155252,10,10,60,240,0.951688,252.183,3.96537,2.22566,1.73964,1,71.7839,3.51309,0.351309
target20000,models/liver_HD_Low.stl,pq20a0.000465858204,20000,7790,2317,0.000465858,1,10,60,240,4.30507,55.7482,17.9378,12.1682,5.76956,1,55.7482,1,1
target20000,models/liver_HD_Low.stl,pq20a0.000465858204,20000,7790,2317,0.000465858,10,10,60,240,1.2289,195.297,5.12041,2.97106,2.14928,1,55.7482,3.5032,0.35032
target40000,models/liver_HD_Low.stl,pq20a4.30698419e-05,40000,35486,7121,4.30698e-05,1,10,60,240,52.3328,4.58603,218.054,180.874,37.18,1,4.58603,1,1
target40000,models/liver_HD_Low.stl,pq20a4.30698419e-05,40000,35486,7121,4.30698e-05,10,10,60,240,12.7674,18.7979,53.1975,44.6624,8.53504,1,4.58603,4.09894,0.409894
target65000,models/liver_HD_Low.stl,pq20a2.35134848e-05,65000,61988,11840,2.35135e-05,1,10,60,240,173.39,1.38416,722.459,645.136,77.3231,1,1.38416,1,1
target65000,models/liver_HD_Low.stl,pq20a2.35134848e-05,65000,61988,11840,2.35135e-05,10,10,60,240,45.8622,5.23307,191.092,172.979,18.1132,1,1.38416,3.78068,0.378068
